time,Excel_day,DoY,sm,ts,sm_count
2020-01-01,43831.0,1.0,0.2631739130434782,,1
2020-01-02,43832.0,2.0,0.2564583333333333,,1
2020-01-03,43833.0,3.0,0.251,,1
2020-01-04,43834.0,4.0,0.2514090909090909,,1
2020-01-05,43835.0,5.0,0.2478333333333333,,1
2020-01-06,43836.0,6.0,0.2433333333333333,,1
2020-01-07,43837.0,7.0,0.2451,,1
2020-01-08,43838.0,8.0,0.3430833333333333,,1
2020-01-09,43839.0,9.0,0.3270909090909091,,1
2020-01-10,43840.0,10.0,0.373,,1
2020-01-11,43841.0,11.0,0.3280416666666667,,1
2020-01-12,43842.0,12.0,0.3662499999999999,,1
2020-01-13,43843.0,13.0,0.3545416666666667,,1
2020-01-14,43844.0,14.0,0.330125,,1
2020-01-15,43845.0,15.0,0.31875,,1
2020-01-16,43846.0,16.0,0.3124583333333333,,1
2020-01-17,43847.0,17.0,0.309125,,1
2020-01-18,43848.0,18.0,0.3300588235294117,,1
2020-01-19,43849.0,19.0,0.3636363636363636,,1
2020-01-20,43850.0,20.0,0.34125,,1
2020-01-21,43851.0,21.0,0.328875,,1
2020-01-22,43852.0,22.0,0.319625,,1
2020-01-23,43853.0,23.0,0.309875,,1
2020-01-24,43854.0,24.0,0.3050416666666666,,1
2020-01-25,43855.0,25.0,0.3015416666666666,,1
2020-01-26,43856.0,26.0,0.2987916666666666,,1
2020-01-27,43857.0,27.0,0.2956666666666667,,1
2020-01-28,43858.0,28.0,0.2931666666666666,,1
2020-01-29,43859.0,29.0,0.2895416666666666,,1
2020-01-30,43860.0,30.0,0.286375,,1
2020-01-31,43861.0,31.0,0.2829583333333333,,1
2020-02-01,43862.0,32.0,0.2795,,1
2020-02-02,43863.0,33.0,0.2762083333333333,,1
2020-02-03,43864.0,34.0,0.2722083333333333,,1
2020-02-04,43865.0,35.0,0.2715,,1
2020-02-05,43866.0,36.0,0.268625,,1
2020-02-06,43867.0,37.0,0.265125,,1
2020-02-07,43868.0,38.0,0.2928333333333333,,1
2020-02-08,43869.0,39.0,0.3106666666666666,,1
2020-02-09,43870.0,40.0,0.3022083333333333,,1
2020-02-10,43871.0,41.0,0.2956,,1
2020-02-11,43872.0,42.0,0.357,,1
2020-02-12,43873.0,43.0,0.333875,,1
2020-02-13,43874.0,44.0,0.320625,,1
2020-02-14,43875.0,45.0,0.3120416666666666,,1
2020-02-15,43876.0,46.0,0.3090416666666666,,1
2020-02-16,43877.0,47.0,0.3051666666666666,,1
2020-02-17,43878.0,48.0,0.3015,,1
2020-02-18,43879.0,49.0,0.3007894736842105,,1
2020-02-19,43880.0,50.0,0.3148571428571428,,1
2020-02-20,43881.0,51.0,0.3037083333333333,,1
2020-02-21,43882.0,52.0,0.2988333333333333,,1
2020-02-22,43883.0,53.0,0.2945416666666666,,1
2020-02-23,43884.0,54.0,0.2900416666666666,,1
2020-02-24,43885.0,55.0,0.2855,,1
2020-02-25,43886.0,56.0,0.279125,,1
2020-02-26,43887.0,57.0,0.2730833333333333,,1
2020-02-27,43888.0,58.0,0.2682916666666666,,1
2020-02-28,43889.0,59.0,0.2807222222222222,,1
2020-02-29,43890.0,60.0,0.3391666666666666,,1
2020-03-01,43891.0,61.0,0.3311666666666666,,1
2020-03-02,43892.0,62.0,0.3520416666666666,,1
2020-03-03,43893.0,63.0,0.3187916666666666,,1
2020-03-04,43894.0,64.0,0.3089166666666667,,1
2020-03-05,43895.0,65.0,0.303875,,1
2020-03-06,43896.0,66.0,0.299875,,1
2020-03-07,43897.0,67.0,0.3003636363636363,,1
2020-03-08,43898.0,68.0,0.2979583333333333,,1
2020-03-09,43899.0,69.0,0.293875,,1
2020-03-10,43900.0,70.0,0.2981666666666667,,1
2020-03-11,43901.0,71.0,0.3174210526315789,,1
2020-03-12,43902.0,72.0,0.3475499999999999,,1
2020-03-13,43903.0,73.0,0.329375,,1
2020-03-14,43904.0,74.0,0.3174166666666667,,1
2020-03-15,43905.0,75.0,0.311375,,1
2020-03-16,43906.0,76.0,0.3448695652173913,,1
2020-03-17,43907.0,77.0,0.3324583333333333,,1
2020-03-18,43908.0,78.0,0.37325,,1
2020-03-19,43909.0,79.0,0.336875,,1
2020-03-20,43910.0,80.0,0.3280869565217391,,1
2020-03-21,43911.0,81.0,0.325125,,1
2020-03-22,43912.0,82.0,0.32,,1
2020-03-23,43913.0,83.0,0.3169130434782609,,1
2020-03-24,43914.0,84.0,0.3163181818181818,,1
2020-03-25,43915.0,85.0,0.3123333333333333,,1
2020-03-26,43916.0,86.0,0.3099583333333333,,1
2020-03-27,43917.0,87.0,0.307625,,1
2020-03-28,43918.0,88.0,0.304375,,1
2020-03-29,43919.0,89.0,0.3027826086956521,,1
2020-03-30,43920.0,90.0,0.2997916666666666,,1
2020-03-31,43921.0,91.0,0.2989583333333333,,1
2020-04-01,43922.0,92.0,0.2982083333333333,,1
2020-04-02,43923.0,93.0,0.2967391304347825,,1
2020-04-03,43924.0,94.0,0.2920416666666666,,1
2020-04-04,43925.0,95.0,0.286875,,1
2020-04-05,43926.0,96.0,0.2832499999999999,,1
2020-04-06,43927.0,97.0,0.2828260869565217,,1
2020-04-07,43928.0,98.0,0.279875,,1
2020-04-08,43929.0,99.0,0.2746666666666666,,1
2020-04-09,43930.0,100.0,0.2704583333333333,,1
2020-04-10,43931.0,101.0,0.266625,,1
2020-04-11,43932.0,102.0,0.26225,,1
2020-04-12,43933.0,103.0,0.25875,,1
2020-04-13,43934.0,104.0,0.256375,,1
2020-04-14,43935.0,105.0,0.2557916666666667,,1
2020-04-15,43936.0,106.0,0.2552916666666666,,1
2020-04-16,43937.0,107.0,0.254625,,1
2020-04-17,43938.0,108.0,0.2552999999999999,,1
2020-04-18,43939.0,109.0,0.2534583333333333,,1
2020-04-19,43940.0,110.0,0.2507083333333333,,1
2020-04-20,43941.0,111.0,0.2478749999999999,,1
2020-04-21,43942.0,112.0,0.2440416666666666,,1
2020-04-22,43943.0,113.0,0.2414999999999999,,1
2020-04-23,43944.0,114.0,0.2390416666666666,,1
2020-04-24,43945.0,115.0,0.23725,,1
2020-04-25,43946.0,116.0,0.2356666666666666,,1
2020-04-26,43947.0,117.0,0.2340833333333333,,1
2020-04-27,43948.0,118.0,0.2334583333333333,,1
2020-04-28,43949.0,119.0,0.233,,1
2020-04-29,43950.0,120.0,0.2322173913043478,,1
2020-04-30,43951.0,121.0,0.2301666666666666,,1
2020-05-01,43952.0,122.0,0.2286666666666666,,1
2020-05-02,43953.0,123.0,0.2267391304347826,,1
2020-05-03,43954.0,124.0,0.2253333333333333,,1
2020-05-04,43955.0,125.0,0.2253,,1
2020-05-05,43956.0,126.0,0.2240833333333333,,1
2020-05-06,43957.0,127.0,0.2233333333333333,,1
2020-05-07,43958.0,128.0,0.2225652173913043,,1
2020-05-08,43959.0,129.0,0.221875,,1
2020-05-09,43960.0,130.0,0.2220454545454545,,1
2020-05-10,43961.0,131.0,0.2230869565217391,,1
2020-05-11,43962.0,132.0,0.2228260869565217,,1
2020-05-12,43963.0,133.0,0.2233181818181818,,1
2020-05-13,43964.0,134.0,0.2233333333333333,,1
2020-05-14,43965.0,135.0,0.2231904761904762,,1
2020-05-15,43966.0,136.0,0.2241818181818182,,1
2020-05-16,43967.0,137.0,0.2235,,1
2020-05-17,43968.0,138.0,0.2227083333333333,,1
2020-05-18,43969.0,139.0,0.2195,,1
2020-05-19,43970.0,140.0,0.2182173913043478,,1
2020-05-20,43971.0,141.0,0.2711,,1
2020-05-21,43972.0,142.0,0.3445,,1
2020-05-22,43973.0,143.0,0.3425833333333333,,1
2020-05-23,43974.0,144.0,0.3259583333333333,,1
2020-05-24,43975.0,145.0,0.3071666666666666,,1
2020-05-25,43976.0,146.0,0.2956666666666667,,1
2020-05-26,43977.0,147.0,0.2884583333333333,,1
2020-05-27,43978.0,148.0,0.2837083333333333,,1
2020-05-28,43979.0,149.0,0.2821739130434783,,1
2020-05-29,43980.0,150.0,0.276125,,1
2020-05-30,43981.0,151.0,0.2678333333333333,,1
2020-05-31,43982.0,152.0,0.2653636363636363,,1
2020-06-01,43983.0,153.0,0.2681666666666666,,1
2020-06-02,43984.0,154.0,0.2695238095238095,,1
2020-06-03,43985.0,155.0,0.2673333333333333,,1
2020-06-04,43986.0,156.0,0.2616666666666666,,1
2020-06-05,43987.0,157.0,0.2521666666666666,,1
2020-06-06,43988.0,158.0,0.2446249999999999,,1
2020-06-07,43989.0,159.0,0.236375,,1
2020-06-08,43990.0,160.0,0.2273333333333333,,1
2020-06-09,43991.0,161.0,0.2199166666666666,,1
2020-06-10,43992.0,162.0,0.2208,,1
2020-06-11,43993.0,163.0,0.2219,,1
2020-06-12,43994.0,164.0,0.2219545454545454,,1
2020-06-13,43995.0,165.0,0.223,,1
2020-06-14,43996.0,166.0,0.2232173913043478,,1
2020-06-15,43997.0,167.0,0.2234545454545454,,1
2020-06-16,43998.0,168.0,0.2232083333333333,,1
2020-06-17,43999.0,169.0,0.2243636363636363,,1
2020-06-18,44000.0,170.0,0.2236086956521739,,1
2020-06-19,44001.0,171.0,0.2215833333333333,,1
2020-06-20,44002.0,172.0,0.2204347826086956,,1
2020-06-21,44003.0,173.0,0.2179166666666666,,1
2020-06-22,44004.0,174.0,0.2160416666666666,,1
2020-06-23,44005.0,175.0,0.2134166666666666,,1
2020-06-24,44006.0,176.0,0.2114166666666666,,1
2020-06-25,44007.0,177.0,0.2084583333333333,,1
2020-06-26,44008.0,178.0,0.2065833333333333,,1
2020-06-27,44009.0,179.0,0.2071818181818181,,1
2020-06-28,44010.0,180.0,0.2102105263157894,,1
2020-06-29,44011.0,181.0,0.2087391304347826,,1
2020-06-30,44012.0,182.0,0.2059583333333333,,1
2020-07-01,44013.0,183.0,0.2049166666666666,,1
2020-07-02,44014.0,184.0,0.2030833333333333,,1
2020-07-03,44015.0,185.0,0.1997916666666666,,1
2020-07-04,44016.0,186.0,0.2233333333333333,,1
2020-07-05,44017.0,187.0,0.3205625,,1
2020-07-06,44018.0,188.0,0.2970869565217391,,1
2020-07-07,44019.0,189.0,0.2860416666666666,,1
2020-07-08,44020.0,190.0,0.269,,1
2020-07-09,44021.0,191.0,0.2630416666666667,,1
2020-07-10,44022.0,192.0,0.2524583333333333,,1
2020-07-11,44023.0,193.0,0.2440833333333333,,1
2020-07-12,44024.0,194.0,0.2335,,1
2020-07-13,44025.0,195.0,0.2259166666666666,,1
2020-07-14,44026.0,196.0,0.2177083333333333,,1
2020-07-15,44027.0,197.0,0.219,,1
2020-07-16,44028.0,198.0,0.217125,,1
2020-07-17,44029.0,199.0,0.2115416666666666,,1
2020-07-18,44030.0,200.0,0.213578947368421,,1
2020-07-19,44031.0,201.0,0.2135217391304347,,1
2020-07-20,44032.0,202.0,0.2119166666666666,,1
2020-07-21,44033.0,203.0,0.212090909090909,,1
2020-07-22,44034.0,204.0,0.20725,,1
2020-07-23,44035.0,205.0,0.2013333333333333,,1
2020-07-24,44036.0,206.0,0.1992083333333333,,1
2020-07-25,44037.0,207.0,0.1988636363636363,,1
2020-07-26,44038.0,208.0,0.2782173913043478,,1
2020-07-27,44039.0,209.0,0.3280416666666667,,1
2020-07-28,44040.0,210.0,0.310625,,1
2020-07-29,44041.0,211.0,0.2962083333333333,,1
2020-07-30,44042.0,212.0,0.2822083333333333,,1
2020-07-31,44043.0,213.0,0.2675416666666667,,1
2020-08-01,44044.0,214.0,0.2635833333333333,,1
2020-08-02,44045.0,215.0,0.2624782608695652,,1
2020-08-03,44046.0,216.0,0.2482083333333333,,1
2020-08-04,44047.0,217.0,0.2349583333333333,,1
2020-08-05,44048.0,218.0,0.23075,,1
2020-08-06,44049.0,219.0,0.228875,,1
2020-08-07,44050.0,220.0,0.233,,1
2020-08-08,44051.0,221.0,0.301,,1
2020-08-09,44052.0,222.0,0.3150952380952381,,1
2020-08-10,44053.0,223.0,0.3104166666666667,,1
2020-08-11,44054.0,224.0,0.304875,,1
2020-08-12,44055.0,225.0,0.2956666666666667,,1
2020-08-13,44056.0,226.0,0.2854583333333333,,1
2020-08-14,44057.0,227.0,0.2742083333333333,,1
2020-08-15,44058.0,228.0,0.269,,1
2020-08-16,44059.0,229.0,0.267625,,1
2020-08-17,44060.0,230.0,0.2568333333333333,,1
2020-08-18,44061.0,231.0,0.2499166666666666,,1
2020-08-19,44062.0,232.0,0.2449583333333333,,1
2020-08-20,44063.0,233.0,0.2417391304347826,,1
2020-08-21,44064.0,234.0,0.2428695652173913,,1
2020-08-22,44065.0,235.0,0.2389583333333333,,1
2020-08-23,44066.0,236.0,0.2370416666666666,,1
2020-08-24,44067.0,237.0,0.2359583333333333,,1
2020-08-25,44068.0,238.0,0.234,,1
2020-08-26,44069.0,239.0,0.2279166666666666,,1
2020-08-27,44070.0,240.0,0.2220416666666666,,1
2020-08-28,44071.0,241.0,0.2183333333333333,,1
2020-08-29,44072.0,242.0,0.2153749999999999,,1
2020-08-30,44073.0,243.0,0.2136086956521739,,1
2020-08-31,44074.0,244.0,0.21125,,1
2020-09-01,44075.0,245.0,0.2113043478260869,,1
2020-09-02,44076.0,246.0,0.2099565217391304,,1
2020-09-03,44077.0,247.0,0.2087916666666666,,1
2020-09-04,44078.0,248.0,0.2076249999999999,,1
2020-09-05,44079.0,249.0,0.2062083333333333,,1
2020-09-06,44080.0,250.0,0.2046086956521739,,1
2020-09-07,44081.0,251.0,0.2052608695652173,,1
2020-09-08,44082.0,252.0,0.2054782608695652,,1
2020-09-09,44083.0,253.0,0.2056818181818181,,1
2020-09-10,44084.0,254.0,0.2060416666666666,,1
2020-09-11,44085.0,255.0,0.2054347826086956,,1
2020-09-12,44086.0,256.0,0.2044166666666666,,1
2020-09-13,44087.0,257.0,0.2031739130434782,,1
2020-09-14,44088.0,258.0,0.201875,,1
2020-09-15,44089.0,259.0,0.2008695652173913,,1
2020-09-16,44090.0,260.0,0.1997826086956522,,1
2020-09-17,44091.0,261.0,0.1984166666666666,,1
2020-09-18,44092.0,262.0,0.1978333333333333,,1
2020-09-19,44093.0,263.0,0.1955652173913043,,1
2020-09-20,44094.0,264.0,0.1953913043478261,,1
2020-09-21,44095.0,265.0,0.19375,,1
2020-09-22,44096.0,266.0,0.1918333333333333,,1
2020-09-23,44097.0,267.0,0.1903478260869565,,1
2020-09-24,44098.0,268.0,0.191047619047619,,1
2020-09-25,44099.0,269.0,0.1907916666666666,,1
2020-09-26,44100.0,270.0,0.1902916666666666,,1
2020-09-27,44101.0,271.0,0.1879583333333333,,1
2020-09-28,44102.0,272.0,0.1871666666666666,,1
2020-09-29,44103.0,273.0,0.1868181818181818,,1
2020-09-30,44104.0,274.0,0.1864782608695652,,1
2020-10-01,44105.0,275.0,0.1880526315789473,,1
2020-10-02,44106.0,276.0,0.1884782608695652,,1
2020-10-03,44107.0,277.0,0.1875416666666667,,1
2020-10-04,44108.0,278.0,0.1861666666666666,,1
2020-10-05,44109.0,279.0,0.1844583333333333,,1
2020-10-06,44110.0,280.0,0.1846315789473684,,1
2020-10-07,44111.0,281.0,0.1838260869565217,,1
2020-10-08,44112.0,282.0,0.1837391304347826,,1
2020-10-09,44113.0,283.0,0.182625,,1
2020-10-10,44114.0,284.0,0.1821304347826087,,1
2020-10-11,44115.0,285.0,0.1809090909090909,,1
2020-10-12,44116.0,286.0,0.1810434782608695,,1
2020-10-13,44117.0,287.0,0.1798695652173912,,1
2020-10-14,44118.0,288.0,0.1793043478260869,,1
2020-10-15,44119.0,289.0,0.1788333333333333,,1
2020-10-16,44120.0,290.0,0.1767083333333333,,1
2020-10-17,44121.0,291.0,0.1772272727272727,,1
2020-10-18,44122.0,292.0,0.1762083333333333,,1
2020-10-19,44123.0,293.0,0.1756666666666666,,1
2020-10-20,44124.0,294.0,0.1745,,1
2020-10-21,44125.0,295.0,0.1743333333333333,,1
2020-10-22,44126.0,296.0,0.1743749999999999,,1
2020-10-23,44127.0,297.0,0.1730833333333333,,1
2020-10-24,44128.0,298.0,0.1727142857142857,,1
2020-10-25,44129.0,299.0,0.1725,,1
2020-10-26,44130.0,300.0,0.1728695652173913,,1
2020-10-27,44131.0,301.0,0.17275,,1
2020-10-28,44132.0,302.0,0.1722083333333333,,1
2020-10-29,44133.0,303.0,0.1718695652173913,,1
2020-10-30,44134.0,304.0,0.1722272727272727,,1
2020-10-31,44135.0,305.0,0.1724782608695652,,1
2020-11-01,44136.0,306.0,0.171625,,1
2020-11-02,44137.0,307.0,0.1711428571428571,,1
2020-11-03,44138.0,308.0,0.170625,,1
2020-11-04,44139.0,309.0,0.1703043478260869,,1
2020-11-05,44140.0,310.0,0.1699565217391304,,1
2020-11-06,44141.0,311.0,0.1699583333333333,,1
2020-11-07,44142.0,312.0,0.1693333333333333,,1
2020-11-08,44143.0,313.0,0.1687083333333333,,1
2020-11-09,44144.0,314.0,0.1685652173913043,,1
2020-11-10,44145.0,315.0,0.1689565217391304,,1
2020-11-11,44146.0,316.0,0.1683043478260869,,1
2020-11-12,44147.0,317.0,0.1674782608695652,,1
2020-11-13,44148.0,318.0,0.1673043478260869,,1
2020-11-14,44149.0,319.0,0.1670454545454545,,1
2020-11-15,44150.0,320.0,0.166695652173913,,1
2020-11-16,44151.0,321.0,0.1669130434782609,,1
2020-11-17,44152.0,322.0,0.1658695652173913,,1
2020-11-18,44153.0,323.0,0.1662173913043478,,1
2020-11-19,44154.0,324.0,0.18325,,1
2020-11-20,44155.0,325.0,0.2762,,1
2020-11-21,44156.0,326.0,0.2682608695652174,,1
2020-11-22,44157.0,327.0,0.2619545454545454,,1
2020-11-23,44158.0,328.0,0.2890625,,1
2020-11-24,44159.0,329.0,0.2829583333333333,,1
2020-11-25,44160.0,330.0,0.2767916666666667,,1
